flagno,storeno,storename,undertaker,storeaddr,contacttel
4507,A000050,全國電子股份有限公司台北市第四十一分公司,張振仁,114臺北市內湖區成功路三段158號,02-22989922#5302
4507,A000051,全國電子股份有限公司台北市第二十三分公司,張振仁,111臺北市士林區福佳里文林路448號,02-22989922#5302
4507,A000052,全國電子股份有限公司台北市第四十二分公司,張振仁,111臺北市士林區德行東路226號,02-22989922#5302
4507,A000053,全國電子股份有限公司台北市第四十四分公司,張振仁,106臺北市大安區和平東路二段78號,02-22989922#5302
4507,A000054,全國電子股份有限公司台北市第十三分公司,張振仁,111臺北市士林區承德路4段128號,02-22989922#5302
4507,A000055,全國電子股份有限公司台北市第九分公司,張振仁,114臺北市內湖區成功路4段155號,02-22989922#5302
4507,A000056,全國電子股份有限公司台北市第四十五分公司,張振仁,116臺北市文山區景興路217號,02-22989922#5302
4507,A000057,全國電子股份有限公司台北市第四十六分公司,張振仁,115臺北市南港區成福路4號,02-22989922#5302
4507,A000058,全國電子股份有限公司台北市第三十四分公司,張振仁,108臺北市萬華區萬大路241號,02-22989922#5302
4507,A000059,全國電子股份有限公司台北市第十分公司,張振仁,105臺北市松山區八德路三段103號,02-22989922#5302
4507,A000060,全國電子股份有限公司台北市第十五分公司,張振仁,114臺北市內湖區東湖路84號,02-22989922#5302
4507,A000061,全國電子股份有限公司台北市第七分公司,張振仁,115臺北市南港區忠孝東路5段984號,02-22989922#5302
4507,A000063,全國電子股份有限公司台北市第二十一分公司,張振仁,108臺北市萬華區中華路二段436號,02-22989922#5302
4507,A000064,全國電子股份有限公司台北市第二十二分公司,張振仁,103臺北市大同區重慶北路2段100-106號,02-22989922#5302
4507,A000065,全國電子股份有限公司台北市第五分公司,張振仁,106臺北市大安區通化街26號,02-22989922#5302
4507,A000066,全國電子股份有限公司台北市第二十七分公司,張振仁,100臺北市中正區南昌路2段206號,02-22989922#5302
4507,A000067,全國電子股份有限公司台北市第三十一分公司,張振仁,105臺北市松山區南京東路5段46號,02-22989922#5302
4507,A000068,全國電子股份有限公司台北市第三十二分公司,張振仁,106臺北市大安區樂業街152號,02-22989922#5302
4507,A000069,全國電子股份有限公司台北市第二十九分公司,張振仁,112臺北市北投區泉源路12-1號,02-22989922#5302
4507,A000070,全國電子股份有限公司台北市第六分公司,張振仁,112臺北市北投區石牌路1段79號,02-22989922#5302
4507,A000071,全國電子股份有限公司台北市第二十八分公司,張振仁,111臺北市士林區天母北路8號,02-22989922#5302
4507,A000072,全國電子股份有限公司台北市第一分公司,張振仁,112臺北市北投區中央北路1段138號,02-22989922#5302
4507,A000073,全國電子股份有限公司台北市第八分公司,張振仁,116臺北市文山區興隆路2段333號,02-22989922#5302
4507,A000074,全國電子股份有限公司台北市第十八分公司,張振仁,116臺北市文山區羅斯福路5段238號1-2樓,02-22989922#5302
4507,A000075,全國電子股份有限公司台北市第三十六分公司,張振仁,104臺北市中山區北安路577號,02-22989922#5302
4507,A000076,全國電子股份有限公司台北市第三十八分公司,張振仁,116臺北市文山區木柵路3段63、65號,02-22989922#5302
4506,F000085,全國電子股份有限公司新北市第三十二分公司,王郁娟,244新北市林口區文化一路一段41號,03-3570833#32
